,Users,mentioned,frequency
0,@2012YesWeWill,@realDonaldTrump,1
1,@2020Asteroid,@realDonaldTrump,1
2,@2BRing2,@realDonaldTrump,1
3,@2PortSaintLucie,@realDonaldTrump,1
4,@2ajnabhi,@realDonaldTrump,1
5,@2runtherace,@realDonaldTrump,1
6,@3Wrtu,@realDonaldTrump,1
7,@40Glockaholic,@realDonaldTrump,1
8,@420Fatazz,@realDonaldTrump,1
9,@44mmvvpp,@realDonaldTrump,1
10,@ABCF621,@realDonaldTrump,1
11,@ADVgrrls,@realDonaldTrump,1
12,@AHaridopolos,@realDonaldTrump,1
13,@ARedmon2,@realDonaldTrump,1
14,@AbazaAbdelmage1,@realDonaldTrump,1
15,@AbbieYoukilis,@realDonaldTrump,1
16,@AbbyLClifton,@realDonaldTrump,1
17,@AcademicEM,@realDonaldTrump,1
18,@AhmedBaba_,@realDonaldTrump,1
19,@AirricG,@realDonaldTrump,1
20,@Alfie98282685,@realDonaldTrump,1
21,@Allegiance4M,@realDonaldTrump,1
22,@AmandiOnAir,@realDonaldTrump,1
23,@AmirAarsham,@realDonaldTrump,1
24,@AmoneyResists,@realDonaldTrump,1
25,@Anabel_Villeroy,@realDonaldTrump,1
26,@AnderitaMartin1,@realDonaldTrump,1
27,@AndrewPSmith82,@realDonaldTrump,1
28,@AndyOstroy,@realDonaldTrump,2
29,@Anferny_187,@realDonaldTrump,1
30,@AngelWarrior321,@realDonaldTrump,2
31,@Anna67365995,@realDonaldTrump,1
32,@Autarkh,@realDonaldTrump,1
33,@AuthorSpice,@realDonaldTrump,1
34,@AyeshaRanchod,@realDonaldTrump,1
35,@Az_Skies_Photo,@realDonaldTrump,1
36,@BBChickBrueck,@realDonaldTrump,1
37,@BDSEL,@realDonaldTrump,1
38,@BMcAdory9,@realDonaldTrump,1
39,@BPlotnickFSU,@realDonaldTrump,1
40,@BRII954,@realDonaldTrump,1
41,@BadAndy167,@realDonaldTrump,1
42,@BadAsVlad,@realDonaldTrump,1
43,@BamaFanBen,@realDonaldTrump,1
44,@BarbaraOBrien,@realDonaldTrump,1
45,@BarbaraRedgate,@realDonaldTrump,1
46,@Bast200174,@realDonaldTrump,1
47,@BeeNewsDaily,@realDonaldTrump,1
48,@Beg1Girl,@realDonaldTrump,1
49,@Beto6717,@realDonaldTrump,1
50,@BigB_769099,@realDonaldTrump,1
51,@BikeTheFogline,@realDonaldTrump,1
52,@Bill_Shapiro,@realDonaldTrump,1
53,@BillofRight7,@realDonaldTrump,1
54,@BillySantos525,@realDonaldTrump,1
55,@Birkdog90,@realDonaldTrump,1
56,@Biwx313,@realDonaldTrump,1
57,@Bmdrum2,@realDonaldTrump,1
58,@BobbiBl16109411,@realDonaldTrump,1
59,@BorderCollieCN,@realDonaldTrump,1
60,@BoulderDaisy,@realDonaldTrump,1
61,@BoycottUtah,@realDonaldTrump,1
62,@BrandonBeckham_,@realDonaldTrump,2
63,@BrerRabbitSC,@realDonaldTrump,1
64,@Brit_In_LA_,@realDonaldTrump,2
65,@BudDeplorable,@realDonaldTrump,1
66,@Busybusy1,@realDonaldTrump,1
67,@CBPhillips5,@realDonaldTrump,1
68,@CJMatt22094,@realDonaldTrump,1
69,@CMK817,@realDonaldTrump,1
70,@CarmineSabia,@realDonaldTrump,1
71,@Cascada57,@realDonaldTrump,1
72,@ChainsawEnema,@realDonaldTrump,1
73,@Changeling2525,@realDonaldTrump,1
74,@CharisseThomps8,@realDonaldTrump,1
75,@ChiangmaiWu,@realDonaldTrump,1
76,@Chicken27059851,@realDonaldTrump,1
77,@ChipL5,@realDonaldTrump,1
78,@Chris242Day,@realDonaldTrump,1
79,@ChrisAl19624369,@realDonaldTrump,1
80,@ChrisAlbertoLaw,@realDonaldTrump,1
81,@ChrisBa27077918,@realDonaldTrump,1
82,@ChrisMattia74,@realDonaldTrump,1
83,@ChristinePolon1,@realDonaldTrump,1
84,@ChuckDeVore,@realDonaldTrump,1
85,@CivilGaby,@realDonaldTrump,1
86,@Clo4Trump,@realDonaldTrump,2
87,@ConnorShaughne2,@realDonaldTrump,1
88,@CorkyForSenate,@realDonaldTrump,1
89,@Crumlinfinglas,@realDonaldTrump,1
90,@CuddleTalk,@realDonaldTrump,1
91,@Cynthia5199,@realDonaldTrump,1
92,@Daddy_Darrell,@realDonaldTrump,1
93,@DailyCaller,@realDonaldTrump,1
94,@Dantegigas1,@realDonaldTrump,1
95,@DavMicRot,@realDonaldTrump,1
96,@DaveEmasIII,@realDonaldTrump,1
97,@DavidJHarrisJr,@realDonaldTrump,1
98,@DavidWa26897273,@realDonaldTrump,1
99,@DeanObeidallah,@realDonaldTrump,4
100,@Debbie149595281,@realDonaldTrump,1
101,@DebbieDrozan,@realDonaldTrump,1
102,@Debora_Gregori,@realDonaldTrump,1
103,@DelayKathleen,@realDonaldTrump,1
104,@DemWrite,@realDonaldTrump,1
105,@DennyYe,@realDonaldTrump,1
106,@DestructDj,@realDonaldTrump,1
107,@Didy14_,@realDonaldTrump,1
108,@DineshDSouza,@realDonaldTrump,1
109,@DingoStolenBaby,@realDonaldTrump,1
110,@Directs_Theatre,@realDonaldTrump,1
111,@Dnac0717,@realDonaldTrump,1
112,@Don27326431,@realDonaldTrump,1
113,@DonCulver5,@realDonaldTrump,1
114,@Dougnotp,@realDonaldTrump,1
115,@DrDenaGrayson,@realDonaldTrump,1
116,@DrJeffKoloze,@realDonaldTrump,1
117,@DrRobDavidson,@realDonaldTrump,2
118,@Dr_Anonymous33,@realDonaldTrump,1
119,@DuncanPepperWat,@realDonaldTrump,1
120,@EXPECTUSQ17,@realDonaldTrump,1
121,@EdwardTHardy,@realDonaldTrump,2
122,@ElainecKAG,@realDonaldTrump,1
123,@ElleninMtDora,@realDonaldTrump,1
124,@Empressmish13,@realDonaldTrump,1
125,@EricTrump,@realDonaldTrump,2
126,@ExposingFakene4,@realDonaldTrump,1
127,@Farewell4now,@realDonaldTrump,1
128,@FarmingSteve,@realDonaldTrump,1
129,@Fatz317,@realDonaldTrump,1
130,@FedupCitizen5,@realDonaldTrump,1
131,@FulanNasrullah,@realDonaldTrump,1
132,@GA_peach3102,@realDonaldTrump,1
133,@GOP,@realDonaldTrump,2
134,@GOPChairwoman,@realDonaldTrump,5
135,@G_TheOriginal,@realDonaldTrump,1
136,@GaetaSusan,@realDonaldTrump,2
137,@Ge_Avocado,@realDonaldTrump,1
138,@GenumX,@realDonaldTrump,1
139,@GeraltKa,@realDonaldTrump,1
140,@GhoreyshiAram,@realDonaldTrump,1
141,@Ghousertatt,@realDonaldTrump,1
142,@Glayol12,@realDonaldTrump,1
143,@Gregg8826,@realDonaldTrump,1
144,@GueliLois,@realDonaldTrump,1
145,@Hendja,@realDonaldTrump,1
146,@Here4Trump2020,@realDonaldTrump,1
147,@IAmSophiaNelson,@realDonaldTrump,1
148,@IDGafMamaBear,@realDonaldTrump,1
149,@Irishma99484366,@realDonaldTrump,1
150,@JCStew1313,@realDonaldTrump,1
151,@JLJenks07,@realDonaldTrump,1
152,@JPinFuerte,@realDonaldTrump,1
153,@JPotter43,@realDonaldTrump,1
154,@JRubinBlogger,@realDonaldTrump,1
155,@JamieLee74,@realDonaldTrump,1
156,@JarkTom,@realDonaldTrump,1
157,@Jason39830749,@realDonaldTrump,1
158,@JayCoffeyVO,@realDonaldTrump,1
159,@JeanneDEsposito,@realDonaldTrump,1
160,@JeffreyGuterman,@realDonaldTrump,3
